seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13724,758574,21991,home,1,5-4-1,1,0,12,393819,Tiana Fuller,Substitute,0,1,414129,26,414129.0,4680.0,78',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,0,11,368783,Annalise Rasmussen,Substitute,0,1,353102,17,353102.0,4680.0,78',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,0,6,312220,Isabel Gomez,Substitute,0,1,368784,16,368784.0,4020.0,67',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,0,15,300536,Annalee Grove,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,21991,home,1,5-4-1,1,0,4,413496,Baxter Thew,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,1,21,292463,Claudia Jenkins,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,11,280013,Isabel Hodgson,Right Back,2,0,0,-1,,,,1,353048,4,353048.0,4320.0,72',2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,1,2,300440,Emily Hodgson,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,8,300529,Emily Condon,Center Midfielder,4,0,0,-1,,,,1,312239,5,312239.0,5100.0,85',2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,1,3,300744,Matilda Mcnamara,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,13,302496,Ella Tonkin,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,16,226437,Dylan Holmes,Right Midfielder,7,0,0,-1,,,,1,312926,9,312926.0,3720.0,62',2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,1,6,353356,Melissa Taranto,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,22,316943,Erin Healy,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,1,7,331955,Emilia Murray,Right Forward,10,0,0,-1,,,,1,393359,12,393359.0,3720.0,62',2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,1,15,353355,Adriana Taranto,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,0,30,382551,Ilona Melegh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,0,12,393359,Carina Rossi,Substitute,0,1,331955,7,331955.0,3720.0,62',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,0,9,312926,Paige Zois,Substitute,0,1,226437,16,226437.0,3720.0,62',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,0,17,353037,Zoe Tolland,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-02 05:15:08
13724,758574,20286,away,0,4-3-3,1,0,4,353048,Holly Murray,Substitute,0,1,280013,11,280013.0,4320.0,72',0,0,-1,,,,2025-11-03 06:14:20
13724,758574,20286,away,0,4-3-3,1,0,5,312239,Sarah Morgan,Substitute,0,1,300529,8,300529.0,5100.0,85',0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,1,300751,Sally James,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,8,312333,Sasha Grove,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,28,371425,Tegan Bertolissio,Left Back,3,0,0,-1,,,,1,230866,5,230866.0,2820.0,47',2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,33,331046,Nanako Sasaki,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,11,300590,Emma Robers,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,12,300539,Hayley Taylor-Young,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,32,331045,Bethany Gordon,Right Midfielder,7,0,0,-1,,,,1,414131,16,414131.0,4020.0,67',2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,10,332521,Mary Stanic-Floody,Center Left Midfielder,8,0,0,-1,,,,1,348587,7,348587.0,4680.0,78',2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,23,158675,Michelle Heyman,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,6,413500,Josephine Aulicino,Center Right Forward,10,0,0,-1,,,,1,353051,44,353051.0,5220.0,87',2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,1,25,330659,Darcey Malone,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,44,353051,Ava Briedis,Substitute,0,1,413500,6,413500.0,5220.0,87',0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,18,300745,Coco Majstorovic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,5,230866,Jazmin Jackmon,Substitute,0,1,371425,28,371425.0,2820.0,47',0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,7,348587,Emma Hawkins,Substitute,0,1,332521,10,332521.0,4680.0,78',0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,2,374098,Alex Mckenzie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20288,home,0,4-4-2,1,0,16,414131,Keira Bobbin,Substitute,0,1,331045,32,331045.0,4020.0,67',0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,24,264965,Anna Leat,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,13,300553,Lauren Allan,Right Back,2,0,0,-1,,,,1,351934,5,351934.0,4380.0,73',2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,2,374197,Josie Wilson,Left Back,3,0,0,-1,,,,1,374366,23,374366.0,5280.0,88',2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,8,374365,Emma Dundas,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,3,351725,Claudia Cicco,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,4,316787,Natasha Prior,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,11,331638,Charlotte Lancaster,Center Left Midfielder,7,0,0,-1,,,,1,368785,7,368785.0,4860.0,81',2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,32,393498,Claire Adams,Center Right Midfielder,8,0,0,-1,,,,1,330652,44,330652.0,3840.0,64',2025-11-03 06:14:20
13724,758575,20287,away,1,4-3-2-1,1,1,14,300554,Melina Ayres,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-11-03 06:14:20
