seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13724,758579,13,46349752,81',Caitlin Karic (Melbourne City) Substitution at 81',2025-11-09 15:08:00
13724,758579,14,46349753,81',Izabella Rako (Melbourne City) Substitution at 81',2025-11-09 15:08:00
13724,758580,0,46365484,13',Danika Matos (Western Sydney ) Goal at 13',2025-11-09 15:08:00
13724,758580,1,46365529,41',Kennedy White (Melbourne Victory ) Goal at 41',2025-11-09 15:08:00
13724,758580,2,46365537,45'+1',Kennedy White (Melbourne Victory ) Goal at 46',2025-11-09 15:08:00
13724,758580,3,46365541,48',Kennedy White (Melbourne Victory ) Goal at 48',2025-11-09 15:08:00
13724,758580,4,46365549,63',Talia Younis (Western Sydney ) Substitution at 63',2025-11-09 15:08:00
13724,758580,5,46365550,64',Nikkita Fazzari (Western Sydney ) Substitution at 64',2025-11-09 15:08:00
13724,758580,6,46365551,64',So-Eun Kim (Western Sydney ) Substitution at 64',2025-11-09 15:08:00
13724,758580,7,46365554,68',Rosie Curtis (Melbourne Victory ) Substitution at 68',2025-11-09 15:08:00
13724,758580,8,46365560,73',Janae Defazio (Western Sydney ) Substitution at 73',2025-11-09 15:08:00
13724,758580,9,46365569,83',Zoe Mcmeeken (Melbourne Victory ) Goal at 83',2025-11-09 15:08:00
13724,758580,10,46365570,84',Alvina Khoshaba (Western Sydney ) Substitution at 84',2025-11-09 15:08:00
13724,758580,11,46365571,84',Sienna Techera (Melbourne Victory ) Substitution at 84',2025-11-09 15:08:00
13724,758580,12,46365579,89',Talia Younis (Western Sydney ) Yellow Card at 89',2025-11-09 15:08:00
13724,758580,13,46365581,90'+2',Poppy O'Keeffe (Melbourne Victory ) Substitution at 92',2025-11-09 15:08:00
